_id,BlockID,CheckweigherResultAvg,DateCreate,OriginCheckpointID,ProductComposite,ProductID,Size,Style,Content
11711176,102LMLI,34.86666742960612,2022-12-26 17:05:50.655,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711036,102LMLI,34.333334604899086,2022-12-26 17:05:53.197,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711179,102LMLI,35.25,2022-12-26 17:06:00.725,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711088,102LMLI,35.34000015258789,2022-12-26 17:06:15.619,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711178,102LMLI,35.15000057220459,2022-12-26 17:06:23.137,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11542814,102LMLI,,2022-12-26 17:06:54.693,,p34,34,,,
11715083,102LMLI,35.20000076293945,2022-12-26 17:06:55.236,19.0,p34::s75::kPLACE,34,75,PLACE,
11711087,102LMLI,36.125000953674316,2022-12-26 17:07:01.499,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711038,102LMLI,35.32500076293945,2022-12-26 17:07:03.988,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711177,102LMLI,35.050000508626304,2022-12-26 17:07:09.054,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727123,102LMLI,,2022-12-26 17:07:11.251,23.0,p34::s75,34,75,,
11727116,102LMLI,36.55000114440918,2022-12-26 17:07:19.664,,p34,34,,,
11727107,102LMLI,42.30000114440918,2022-12-26 17:07:25.935,19.0,p34::s75::kPLACE,34,75,PLACE,
11711105,102LMLI,34.800000508626304,2022-12-26 17:07:35.573,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727133,102LMLI,36.300000762939455,2022-12-26 17:07:37.479,23.0,p34::s75,34,75,,
11711175,102LMLI,34.900001525878906,2022-12-26 17:07:56.519,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
10551789,102LMLI,,2022-12-26 17:08:16.809,,p34,34,,,
11711180,102LMLI,35.20000076293945,2022-12-26 17:08:33.850,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711037,102LMLI,35.32000045776367,2022-12-26 17:08:36.533,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711181,102LMLI,34.95000076293945,2022-12-26 17:08:57.973,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711182,102LMLI,35.025001525878906,2022-12-26 17:09:20.338,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727137,102LMLI,36.92500019073486,2022-12-26 17:09:28.395,23.0,p34::s75,34,75,,
11711133,102LMLI,35.26666768391927,2022-12-26 17:09:36.596,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11727124,102LMLI,35.20000076293945,2022-12-26 17:09:39.266,,p34::cBAGS,34,,,BAGS
11711183,102LMLI,35.24000091552735,2022-12-26 17:09:40.969,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11715076,102LMLI,37.27500057220459,2022-12-26 17:10:00.704,19.0,p34::s75::kPLACE,34,75,PLACE,
11711132,102LMLI,35.00000076293945,2022-12-26 17:10:02.343,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11727058,102LMLI,38.67500019073486,2022-12-26 17:10:15.394,22.0,p34::s75::kPLACE::cBAGS,34,75,PLACE,BAGS
11711053,102LMLI,37.16000061035156,2022-12-26 17:10:24.104,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711131,102LMLI,35.35000038146973,2022-12-26 17:10:26.591,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711185,102LMLI,35.15000057220459,2022-12-26 17:10:44.180,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711130,102LMLI,35.53333409627279,2022-12-26 17:10:49.100,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11715081,102LMLI,35.03333536783854,2022-12-26 17:11:02.674,170.0,p34::s95::kPLACE,34,95,PLACE,
11711186,102LMLI,34.900001525878906,2022-12-26 17:11:03.800,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11715080,102LMLI,,2022-12-26 17:11:17.064,38.0,p34::s95::kPLACE,34,95,PLACE,
11727130,102LMLI,37.08000030517578,2022-12-26 17:11:23.132,23.0,p34::s75,34,75,,
11711187,102LMLI,34.95000076293945,2022-12-26 17:11:26.325,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727112,102LMLI,35.92500019073486,2022-12-26 17:11:45.702,,p34,34,,,
11711189,102LMLI,34.733333587646484,2022-12-26 17:11:49.181,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711039,102LMLI,35.35000133514404,2022-12-26 17:11:56.675,70.0,p36::s115::k12/2 PBAG,36,115,12/2 PBAG,
11711188,102LMLI,35.05000114440918,2022-12-26 17:12:10.024,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727113,102LMLI,35.233333587646484,2022-12-26 17:12:17.138,19.0,p34::s75::kPLACE,34,75,PLACE,
11715068,102LMLI,36.17500019073486,2022-12-26 17:12:33.912,,p34,34,,,
11711050,102LMLI,35.30000114440918,2022-12-26 17:12:34.900,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
