ID,CheckpointID,LocationName,FarScanCheckpointID,ParentID,ParentLocationName,ParentRemoteID,ParentProcessIsEnabled,ParentProcessIsOnline,PluginClassName,RemoteID,IsVisible,DisplayName,Role,HasDebugInfo,RequireExplicitRouting,ProcessIsEnabled,ProcessIsOnline,ProcessIsRouteBlocked,RouteWeight,UISide,Size,OutletStatus
36,36,Lower Line 21,,165.0,"Pack Table North 6 - Outlets 21,22",,1.0,1.0,PackTable,lower.20,0,Line 21,PacktablesNorth,0,0,1,1,0,1.0,LHS,8,Disabled
37,37,Lower Line 22,,165.0,"Pack Table North 6 - Outlets 21,22",,1.0,1.0,PackTable,lower.21,0,Line 22,PacktablesNorth,0,0,1,1,0,1.0,RHS,8,Disabled
38,38,Lower Line 23,35.0,191.0,"Pack Table South 6 - Outlets 23,24",,1.0,1.0,PackTable,lower.22,0,Line 23,PacktablesSouth,0,0,1,1,0,1.0,LHS,95,OK
39,39,Lower Line ATip,,,,,,,,lower.atip,0,,,0,0,1,1,0,1.0,,,
40,40,Outside Print Cabinet,,,,,,,Printer,,1,Outside Print Cabinet,Printer,1,0,1,1,0,1.0,,,
41,41,Unused - Process Sticker,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
42,42,Unused - Process Close Lid,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
43,43,Unused - Process Label RPC,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
44,44,Unused - Process Label Box,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
45,45,PTI Merge Before Checkpoint C,,,,,,,,,0,Inside PTI 3to1,Merge,0,0,1,1,0,1.0,,,
46,46,"Router QA (Bandall, QA, Outside)",,,,,,,SecondaryPackCreate,PackC:46,1,"Divert x3, below control room stairs",Diverter,0,0,1,1,0,1.0,,,
47,47,South Mainline/CasePacker Merge,,,,,,,,,1,Mainline/CasePacker Merge,Diverter,1,0,1,1,0,1.0,,,
48,48,Merge 2 to 1 after a,,,,,,,,,0,,Merge,0,0,1,1,0,1.0,,,
49,49,Casepacker Releases,,,,,,,,,1,Casepacker Releases,,1,0,1,1,0,1.0,,,
50,50,Unused - Old Checkpoint 256,,,,,,,,,0,Unused - Old Checkpoint 256,Diverter,0,0,1,1,0,1.0,,,
51,51,Unused - Old Casi Scale 1,,,,,,,Scale,,0,Unused - Old Casi Scale 1,Scale,0,0,1,1,0,1.0,,,
52,52,Unused - Old Casi Scale 2,,,,,,,Scale,,0,Unused - Old Old Casi Scale 2,Scale,0,0,1,1,0,1.0,,,
53,53,Sinclare TL4 1 - Tagging Side,,,,,,,,,0,,,0,1,1,1,0,1.0,,,
54,54,Sinclare TL4 2 - Control Side,,,,,,,,,0,,,0,1,1,1,0,1.0,,,
55,55,Document D1,,,,,,,,,0,,Diverter,0,0,1,1,0,1.0,,,
56,56,Document D2,,,,,,,,,0,,Diverter,0,0,1,1,0,1.0,,,
57,57,Router Under Sizer,,,,,,,,,1,"For Case Sealer, Box Turner",Merge,0,0,1,1,0,1.0,,,
58,58,Case Sealer,,,,,,,,,0,,,0,1,0,1,0,1.0,,,
59,59,Aux,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
60,60,Unused - Box Turner,,,,,,,BoxTurner,,0,Unused - Box Turner,Turner,0,1,1,1,0,1.0,,,
61,61,Section Status and Bagger Sheers,,,,,,,,,1,Section and Sheer Control,brainbox,0,0,1,1,0,1.0,,,
62,62,Pattern Packer Sheers,,,,,,,,,1,Pattern Packer Sheers,brainbox,0,0,1,1,0,1.0,,,
63,63,IT Test Bench,,,,,,,,,1,IT Test Bench,,0,0,1,1,0,1.0,,,
64,64,Unused - Error,,,,,,,,,0,Unused - Error,Error,0,1,1,1,0,1.0,,,
65,65,Inside Lane Print Cabinet Exit,,,,,,,,,0,Inside Lane Print Cabinet Exit,Lane,0,0,1,1,0,1.0,,,
66,66,Middle Lane Print Cabinet Exit,,,,,,,,,0,Middle Lane Print Cabinet Exit,Lane,0,0,1,1,0,1.0,,,
67,67,Outside Lane Print Cabinet Exit,,,,,,,,,0,Outside Lane Print Cabinet Exit,Lane,0,0,1,1,0,1.0,,,
68,68,3to1 Merge Ramp,,,,,,,,,0,Exit Ramp to Palletizing,Exit,0,0,1,1,0,1.0,,,
69,69,Packline End Node,,,,,,,,,0,Packline End,,0,0,1,1,0,1.0,,,
70,70,CasePacker1,,,,,,,CasePacker,CasePacker.1,0,Bagger 3,PackageCreate,0,0,1,1,0,1.0,,115,OK
71,71,CasePacker2,,,,,,,CasePacker,CasePacker.2,0,Bagger 2,PackageCreate,0,0,1,1,0,1.0,,115,OK
72,72,CasePacker3,,,,,,,CasePacker,CasePacker.3,0,Bagger 1,PackageCreate,0,0,1,1,0,1.0,,24,OK
73,73,CasePacker4,,,,,,,CasePacker,CasePacker.4,0,Bagger 5,PackageCreate,0,0,1,1,0,1.0,,140,OK
74,74,CasePacker5,,,,,,,CasePacker,CasePacker.5,0,Bagger 4,PackageCreate,0,0,1,1,0,1.0,,140,OK
75,75,Label Dispenser B8:27:EB:37:2D:FC,,,,,,,,lower.4,0,,,0,0,1,1,0,1.0,,,
76,76,Inside Print Cabinet,,,,,,,Printer,,1,Inside Print Cabinet,Printer,1,0,1,1,0,1.0,,,
77,77,Middle Print Cabinet,,,,,,,Printer,,1,Middle Print Cabinet,Printer,1,0,1,1,0,1.0,,,
78,78,Label Dispenser b8:27:eb:c7:4c:f4,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
79,79,Label Dispenser b8:27:eb:8e:ba:71,,,,,,,,lower.13,0,,,0,0,1,1,0,1.0,,,
80,80,Label Dispenser b8:27:eb:a4:45:cf,,,,,,,,lower.14,0,,,0,0,1,1,0,1.0,,,
81,81,Label Dispenser b8:27:eb:41:58:39,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
82,82,Unused - BoxTurner Checkpoint,,,,,,,SecondaryPackCreate,,0,Unused - BoxTurner,,0,0,1,1,0,1.0,,,
83,83,Label Dispenser b8:27:eb:89:3d:53,,,,,,,,lower.28,0,,,0,0,1,1,0,1.0,,,
84,84,Label Dispenser b8:27:eb:81:b4:ca,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
85,85,Label Dispenser b8:27:eb:5a:43:37,,,,,,,,lower.17,0,,,0,0,1,1,0,1.0,,,
86,86,Label Dispenser b8:27:eb:33:47:0c,,,,,,,,lower.23,0,,,0,0,1,1,0,1.0,,,
87,87,Label Dispenser b8:27:eb:45:c9:f9,,,,,,,,lower.19,0,,,0,0,1,1,0,1.0,,,
88,88,Label Dispenser b8:27:eb:5e:8e:ec,,,,,,,,lower.10,0,,,0,0,1,1,0,1.0,,,
89,89,Label Dispenser b8:27:eb:21:e0:33,,,,,,,,lower.8,0,,,0,0,1,1,0,1.0,,,
90,90,Label Dispenser b8:27:eb:69:14:ca,,,,,,,,lower.12,0,,,0,0,1,1,0,1.0,,,
91,91,Label Dispenser b8:27:eb:af:c1:ea,,,,,,,,lower.20,0,,,0,0,1,1,0,1.0,,,
92,92,Label Dispenser b8:27:eb:47:9a:1b,,,,,,,,lower.26,0,,,0,0,1,1,0,1.0,,,
93,93,Label Dispenser b8:27:eb:28:b1:0c,,,,,,,,lower.30,0,,,0,0,1,1,0,1.0,,,
94,94,Label Dispenser b8:27:eb:54:57:35,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
95,95,Label Dispenser b8:27:eb:53:5f:65,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
96,96,Label Dispenser b8:27:eb:c6:84:ac,,,,,,,,lower.22,0,,,0,0,1,1,0,1.0,,,
97,97,Label Dispenser b8:27:eb:58:6a:ab,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
98,98,Label Dispenser b8:27:eb:4b:1b:3a,,,,,,,,lower.29,0,,,0,0,1,1,0,1.0,,,
99,99,Label Dispenser b8:27:eb:08:a9:8b,,,,,,,,lower.18,0,,,0,0,1,1,0,1.0,,,
100,100,Label Dispenser b8:27:eb:f8:c7:bb,,,,,,,,lower.9,0,,,0,0,1,1,0,1.0,,,
101,101,Palletizing Lower (ROBOTS),,,,,,,,,1,,Diverter,0,0,1,1,0,1.0,,,
102,102,Unused - Checkpoint Palletizing 2,,,,,,,,,0,Unused - Checkpoint Palletizing 2,Diverter,0,0,1,1,0,1.0,,,
103,103,Unused - Checkpoint 103 - 4th pallet/Recirc,,,,,,,,,0,Unused - Checkpoint 103 - 4th pallet/Recirc,Diverter,0,0,1,1,0,1.0,,,
104,104,Unused - Manual Palletizing,,,,,,,,,0,Unused - Manual Palletizing,,0,0,1,1,0,1.0,,,
105,105,Pallet A / Left - Robot3,,,,,,,RobotPalletizer,,0,Robot 3 - Pallet A,Pallet,0,1,1,1,0,1.0,,,
106,106,Pallet B / Left - Robot3,,,,,,,RobotPalletizer,,0,Robot 3 - Pallet B,Pallet,0,1,1,1,0,1.0,,,
107,107,Pallet A / Left - Robot2,,,,,,,RobotPalletizer,,0,Robot 2 - Pallet A,Pallet,0,1,1,1,0,1.0,,,
108,108,Pallet B / Left - Robot2,,,,,,,RobotPalletizer,,0,Robot 2 - Pallet B,Pallet,0,1,1,1,0,1.0,,,
109,109,Label Dispenser b8:27:eb:21:1d:77,,,,,,,,lower.3,0,,,0,0,1,1,0,1.0,,,
110,110,Label Dispenser b8:27:eb:35:c1:18,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
111,111,Label Dispenser b8:27:eb:27:9f:31,,,,,,,,lower.24,0,,,0,0,1,1,0,1.0,,,
112,112,Label Dispenser b8:27:eb:89:5e:92,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
113,113,Label Dispenser b8:27:eb:6a:7b:11,,,,,,,,lower.11,0,,,0,0,1,1,0,1.0,,,
114,114,Label Dispenser b8:27:eb:3a:29:cd,,,,,,,,lower.15,0,,,0,0,1,1,0,1.0,,,
115,115,Label Dispenser b8:27:eb:54:57:35,,,,,,,,lower.16,0,,,0,0,1,1,0,1.0,,,
116,116,Camera Test,,,,,,,,,0,,,0,0,1,1,0,1.0,,,
117,117,GPIO v4,,,,,,,,,0,,"vision,gpio",0,0,1,1,0,1.0,,,
118,118,Inside Merge Print 1,,,,,,,MPERIA,,0,Inside Merge Print 1,,0,1,1,0,0,0.8,,,
119,119,Middle Merge Print 1,,,,,,,MPERIA,,0,Middle Merge Print 1,,0,1,1,1,0,1.0,,,
120,120,Outside Merge Print 1,,,,,,,MPERIA,,0,Outside Merge Print 1,,0,1,0,1,0,1.0,,,
121,121,Bandall Inside,,,,,,,,,0,Bandall Inside,,0,0,1,1,0,1.0,,,
122,122,Bandall Middle,,,,,,,,,0,Bandall Middle,,0,0,1,1,0,1.0,,,
123,123,Palletizing Loop - TrafficCop,,,,,,,TrafficCop,,0,Palletizing Loop - TrafficCop,TrafficCop,0,0,1,1,0,1.0,,,
124,124,Label Dispenser b8:27:eb:55:c0:10,,,,,,,,lower.27,0,,,0,0,1,1,0,1.0,,,
125,125,Label Dispenser b8:27:eb:86:78:f9,,,,,,,,lower.32,0,,,0,0,1,1,0,1.0,,,
126,126,Label Dispenser b8:27:eb:21:4f:e4,,,,,,,,lower.31,0,,,0,0,1,1,0,1.0,,,
127,127,Label Dispenser b8:27:eb:9c:d1:02,,,,,,,,lower.5,0,,,0,0,1,1,0,1.0,,,
128,128,Label Dispenser b8:27:eb:04:73:2b,,,,,,,,lower.7,0,,,0,0,1,1,0,1.0,,,
129,129,Label Dispenser b8:27:eb:8f:99:e5,,,,,,,,lower.6,0,,,0,0,1,1,0,1.0,,,
130,130,Label Dispenser b8:27:eb:09:e6:3f,,,,,,,,lower.21,0,,,0,0,1,1,0,1.0,,,
131,131,Label Dispenser b8:27:eb:78:bc:15,,,,,,,,lower.25,0,,,0,0,1,1,0,1.0,,,
132,132,Accumulator 1,,,,,,,,9,0,Accumulator 1 - Bagger 1 CMSA 3,Accumulator,0,0,1,1,0,1.0,,140,Disabled
133,133,Accumulator 2,,,,,,,,9,0,Accumulator 2 - Bagger 1 CMSA 3,Accumulator,0,0,1,1,0,1.0,,140,Disabled
