_id,PK,Code,BlockID,CheckpointID,DateCreate,ProductComposite,ProductID,Size,Style,Content,OriginCheckpointID,PrintSize,FruitCount,CheckweigherResultAvg,DataMatrixExists,PTIExists,ProductName
63ab883fb217eb880360ecf5,361::2022::16184332,16184332,SPMASHDH,101,2022-12-28 00:05:05.948,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,16.92500066757202,True,False,Big Kahuna SLE
63ab8842b217eb880360ed05,361::2022::16186056,16186056,SPMASHDH,101,2022-12-28 00:05:08.080,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,33.0,8/28,28.0,19.233333905537922,True,False,Big Kahuna SLE
63ab8843b217eb880360ed0e,361::2022::16188309,16188309,SPMASHDH,101,2022-12-28 00:05:09.286,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,16.633333524068195,True,False,Big Kahuna SLE
63ab8845b217eb880360ed20,361::2022::16184340,16184340,SPMASHDH,101,2022-12-28 00:05:10.577,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,17.00000023841858,True,False,Big Kahuna SLE
63ab8848b217eb880360ed41,361::2022::16188313,16188313,SPMASHDH,101,2022-12-28 00:05:15.135,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,17.320000839233398,True,False,Big Kahuna SLE
63ab8849b217eb880360ed43,361::2022::12174614,12174614,SPMASHDH,101,2022-12-28 00:05:15.313,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,28.0,7/25,25.0,19.975000381469727,True,False,Big Kahuna SLE
63ab884db217eb880360ed6b,361::2022::30ca6e2103,None,SPMASHDH,209,2022-12-28 00:05:20.645,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8857b217eb880360edb0,361::2022::16186040,16186040,SPMASHDH,101,2022-12-28 00:05:29.660,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,32.0,8/28,28.0,18.5,True,False,Big Kahuna SLE
63ab8858b217eb880360edbe,361::2022::12174625,12174625,SPMASHDH,101,2022-12-28 00:05:31.308,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,18.060000610351562,True,False,Big Kahuna SLE
63ab885bb217eb880360edcb,361::2022::16184323,16184323,SPMASHDH,101,2022-12-28 00:05:33.516,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,17.600000858306885,True,False,Big Kahuna SLE
63ab885bb217eb880360edcc,361::2022::93effef445,None,SPMASHDH,209,2022-12-28 00:05:33.701,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab885db217eb880360ede0,361::2022::16188307,16188307,SPMASHDH,101,2022-12-28 00:05:35.836,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,16.950000762939453,True,False,Big Kahuna SLE
63ab8864b217eb880360ee12,361::2022::16188318,16188318,SPMASHDH,101,2022-12-28 00:05:42.766,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,16.84000015258789,True,False,Big Kahuna SLE
63ab8865b217eb880360ee1a,361::2022::16184336,16184336,SPMASHDH,101,2022-12-28 00:05:44.430,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,25.0,8/28,28.0,17.500000476837158,True,False,Big Kahuna SLE
63ab886cb217eb880360ee54,361::2022::12174580,12174580,SPMASHDH,101,2022-12-28 00:05:50.750,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,28.0,8/28,28.0,19.325000286102295,True,False,Big Kahuna SLE
63ab8870b217eb880360ee70,361::2022::16186041,16186041,SPMASHDH,101,2022-12-28 00:05:55.087,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,,7/25,25.0,19.96666717529297,True,False,Big Kahuna SLE
63ab8875b217eb880360ee9a,361::2022::16188308,16188308,SPMASHDH,101,2022-12-28 00:05:59.794,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,16.50000057220459,True,False,Big Kahuna SLE
63ab887ab217eb880360eec7,361::2022::16184342,16184342,SPMASHDH,101,2022-12-28 00:06:04.410,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,16.25,True,False,Big Kahuna SLE
63ab887cb217eb880360eed1,361::2022::950809bc5a,None,SPMASHDH,209,2022-12-28 00:06:08.071,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab887eb217eb880360eee0,361::2022::16186037,16186037,SPMASHDH,101,2022-12-28 00:06:08.838,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,19.160000228881835,True,False,Big Kahuna SLE
63ab8883b217eb880360ef07,361::2022::12174618,12174618,SPMASHDH,101,2022-12-28 00:06:14.479,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,28.0,8/28,28.0,19.325000286102295,True,False,Big Kahuna SLE
63ab8886b217eb880360ef19,361::2022::16186023,16186023,SPMASHDH,101,2022-12-28 00:06:16.021,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,,7/25,25.0,19.375000476837158,True,False,Big Kahuna SLE
